sujeto,endpoint,objeto,real,esperado,conforme,nota
tech_de_sub_B,GET /tasks/,enumeración,200,200|404,SÍ,devuelve ['TSK60003']
tech_independiente,GET /tasks/,enumeración,200,200|404,SÍ,devuelve ['TSK60005']
subcontractor,GET /jobs/,enumeración,200,200|404,SÍ,devuelve ['QID-I60001']
sub_B,GET /jobs/,enumeración,200,200|404,SÍ,devuelve ['PTL-I60001']
technical,GET /jobs/,enumeración,200,200|404,SÍ,devuelve ['QID-I60001']
tech_de_sub_B,GET /jobs/,enumeración,200,200|404,SÍ,devuelve ['PTL-I60001']
tech_independiente,GET /jobs/,enumeración,200,200|404,SÍ,devuelve ['PAR-I60001']
subcontractor,GET /technician/,enumeración,200,200|404,NO,"devuelve ['TEC60001', 'TEC60002', 'TEC60003'] — INTRUSOS del otro sub: ['TEC60002']"
sub_B,GET /technician/,enumeración,200,200|404,NO,"devuelve ['TEC60001', 'TEC60002', 'TEC60003'] — INTRUSOS del otro sub: ['TEC60001']"
technical,GET /technician/,enumeración,200,200|404,NO,"devuelve ['TEC60001', 'TEC60002', 'TEC60003'] — INTRUSOS del otro sub: ['TEC60002']"
tech_de_sub_B,GET /technician/,enumeración,200,200|404,NO,"devuelve ['TEC60001', 'TEC60002', 'TEC60003'] — INTRUSOS del otro sub: ['TEC60001']"
tech_independiente,GET /technician/,enumeración,200,200|404,NO,"devuelve ['TEC60001', 'TEC60002', 'TEC60003'] — INTRUSOS del otro sub: ['TEC60001']"
subcontractor,GET /attachments/,enumeración,200,200|404,NO,"devuelve ['ATT60001', 'ATT60002', 'ATT60003', 'ATT60004'] — INTRUSOS del otro sub: ['ATT60003']"
sub_B,GET /attachments/,enumeración,200,200|404,NO,"devuelve ['ATT60001', 'ATT60002', 'ATT60003', 'ATT60004'] — INTRUSOS del otro sub: ['ATT60001']"
technical,GET /attachments/,enumeración,200,200|404,NO,"devuelve ['ATT60001', 'ATT60002', 'ATT60003', 'ATT60004'] — INTRUSOS del otro sub: ['ATT60003']"
tech_de_sub_B,GET /attachments/,enumeración,200,200|404,NO,"devuelve ['ATT60001', 'ATT60002', 'ATT60003', 'ATT60004'] — INTRUSOS del otro sub: ['ATT60001']"
tech_independiente,GET /attachments/,enumeración,200,200|404,NO,"devuelve ['ATT60001', 'ATT60002', 'ATT60003', 'ATT60004'] — INTRUSOS del otro sub: ['ATT60001']"
subcontractor,GET /subcontractors/,enumeración,200,200|404,NO,"devuelve ['SUBC60001', 'SUBC60002'] — INTRUSOS del otro sub: ['SUBC60002']"
sub_B,GET /subcontractors/,enumeración,200,200|404,NO,"devuelve ['SUBC60001', 'SUBC60002'] — INTRUSOS del otro sub: ['SUBC60001']"
technical,GET /subcontractors/,enumeración,403,200|404,SÍ,devuelve []
tech_de_sub_B,GET /subcontractors/,enumeración,403,200|404,SÍ,devuelve []
tech_independiente,GET /subcontractors/,enumeración,403,200|404,SÍ,devuelve []
subcontractor,GET /certificate/,enumeración,200,200|404,NO,"devuelve ['CERT60001', 'CERT60002'] — INTRUSOS del otro sub: ['CERT60002']"
sub_B,GET /certificate/,enumeración,200,200|404,NO,"devuelve ['CERT60001', 'CERT60002'] — INTRUSOS del otro sub: ['CERT60001']"
technical,GET /certificate/,enumeración,403,200|404,SÍ,devuelve []
tech_de_sub_B,GET /certificate/,enumeración,403,200|404,SÍ,devuelve []
tech_independiente,GET /certificate/,enumeración,403,200|404,SÍ,devuelve []
technical,POST /tasks/ (R4),propio,403,403,SÍ,BD: fila creada=False
tech_de_sub_B,POST /tasks/ (R4),propio,403,403,SÍ,BD: fila creada=False
tech_independiente,POST /tasks/ (R4),propio,403,403,SÍ,BD: fila creada=False
subcontractor,DELETE /tasks/<propia> (R5),propio,403,403,SÍ,BD: la fila sigue existiendo=True
subcontractor,DELETE /jobs/<propio> (R5),propio,403,403,SÍ,
sub_B,DELETE /tasks/<propia> (R5),propio,403,403,SÍ,BD: la fila sigue existiendo=True
sub_B,DELETE /jobs/<propio> (R5),propio,403,403,SÍ,
technical,DELETE /tasks/<propia> (R5),propio,403,403,SÍ,BD: la fila sigue existiendo=True
technical,DELETE /jobs/<propio> (R5),propio,403,403,SÍ,
tech_de_sub_B,DELETE /tasks/<propia> (R5),propio,403,403,SÍ,BD: la fila sigue existiendo=True
tech_de_sub_B,DELETE /jobs/<propio> (R5),propio,403,403,SÍ,
tech_independiente,DELETE /tasks/<propia> (R5),propio,403,403,SÍ,BD: la fila sigue existiendo=True
tech_independiente,DELETE /jobs/<propio> (R5),propio,403,403,SÍ,
subcontractor,POST /tasks/ técnico de OTRO sub (R3),ajeno,201,403,NO,"BD: creada=True, ID_Technician=TEC60002"
subcontractor,PATCH /subcontractors/<propio> compliance,propio,200,403,NO,BD tras releer: Gqm_compliance='AUDIT-AUTOAPROBADO' Score=99.0 ← ESCRIBIÓ
